Datetime,BTC-EUR_Open,BTC-EUR_High,BTC-EUR_Low,BTC-EUR_Close,BTC-EUR_Adj Close,BTC-EUR_Volume
2023-11-03,33476.83984375,33898.2734375,32407.041015625,32911.6484375,32911.6484375,19780160358
2023-11-04,32915.63671875,32915.63671875,32061.94921875,32351.423828125,32351.423828125,15982244495
2023-11-05,32355.1484375,32839.23046875,32243.71875,32677.3125,32677.3125,8905867542
2023-11-06,32684.591796875,32944.9375,32253.388671875,32660.251953125,32660.251953125,11566641714
2023-11-07,32655.99609375,32826.0625,32386.474609375,32688.990234375,32688.990234375,11842658843
2023-11-08,32698.71484375,33560.5234375,32345.00390625,33137.67578125,33137.67578125,17609387418
2023-11-09,33115.15625,33611.4765625,32887.55078125,33287.515625,33287.515625,16146859628
2023-11-10,33267.3125,35384.4375,33234.4453125,34397.78515625,34397.78515625,35400428411
2023-11-11,34406.34375,35049.12890625,34064.59375,34881.0234375,34881.0234375,21230445244
2023-11-12,34877.37890625,34968.07421875,34375.94921875,34716.57421875,34716.57421875,13016381749
2023-11-13,34712.78125,34743.265625,34381.04296875,34661.76171875,34661.76171875,10800162934
2023-11-14,34676.52734375,35005.1640625,34023.4375,34109.41015625,34109.41015625,17808365370
2023-11-15,34099.53125,34338.98828125,32151.74609375,32669.89453125,32669.89453125,21932206517
2023-11-16,32679.521484375,34982.63671875,32539.208984375,34899.3046875,34899.3046875,25212076781
2023-11-17,34898.75,34958.91796875,32737.666015625,33312.5703125,33312.5703125,23962892787
2023-11-18,33321.8359375,33620.9375,33045.83203125,33522.1953125,33522.1953125,20559421592
2023-11-19,33548.47265625,33744.4140625,33189.3515625,33512.13671875,33512.13671875,10887477949
2023-11-20,33512.1953125,34384.375,33355.40625,34282.23046875,34282.23046875,11843533441
2023-11-21,34270.79296875,34522.94921875,33757.36328125,34239.58203125,34239.58203125,19083822904
2023-11-22,34232.4609375,34361.03125,32805.48828125,32805.48828125,32805.48828125,23057727173
2023-11-23,32753.0390625,34766.90234375,32674.646484375,34379.76953125,34379.76953125,22407676695
2023-11-24,34368.8359375,34462.93359375,33846.66796875,34197.4921875,34197.4921875,13036216281
2023-11-25,34203.6328125,35123.71875,34172.09765625,34459.36328125,34459.36328125,20941268119
2023-11-26,34460.3984375,34616.62890625,34365.390625,34529.2578125,34529.2578125,8312913238
2023-11-27,34529.29296875,34540.18359375,33939.66015625,34259.40234375,34259.40234375,12564021872
2023-11-28,34236.61328125,34353.51171875,33613.9453125,33993.83203125,33993.83203125,17339865672
2023-11-29,33988.1953125,34916.3125,33688.1328125,34379.07421875,34379.07421875,19716407904
2023-11-30,34374.55078125,34911.05078125,34278.875,34499.9921875,34499.9921875,18889675827
2023-12-01,34502.3828125,34753.734375,34433.921875,34625.015625,34625.015625,16632736550
2023-12-02,34629.84765625,35832.484375,34523.8828125,35518.4375,35518.4375,21586052430
2023-12-03,35518.92578125,36447.0859375,35485.24609375,36260.984375,36260.984375,14268788411
2023-12-04,36257.1953125,36873.0234375,36097.328125,36724.75,36724.75,14486279586
2023-12-05,36724.96875,39106.96484375,36724.96875,38736.5078125,38736.5078125,36776645956
2023-12-06,38742.1953125,41131.79296875,38325.33203125,40832.43359375,40832.43359375,33636384491
2023-12-07,40831.85546875,40977.6640625,40308.87890625,40632.3984375,40632.3984375,27780665117
2023-12-08,40653.46875,40928.07421875,39797.6171875,40122.90625,40122.90625,25612353182
2023-12-09,40123.33984375,41539.3828125,39986.8515625,40995.4375,40995.4375,22667680509
2023-12-10,41007.89453125,41176.1171875,40495.13671875,40586.4609375,40586.4609375,16121172681
2023-12-11,40588.68359375,40909.796875,40495.06640625,40666.91796875,40666.91796875,12076134189
2023-12-12,40678.36328125,40690.3984375,37380.94140625,38311.3125,38311.3125,37743607791
2023-12-13,38306.578125,38979.15625,37697.5703125,38385.14453125,38385.14453125,22947173736
2023-12-14,38402.0390625,39931.859375,37712.33984375,39411.66015625,39411.66015625,24624174259
2023-12-15,39405.70703125,39434.046875,38240.77734375,39135.1640625,39135.1640625,23266563571
2023-12-16,39139.0546875,39227.5,38217.65234375,38437.6796875,38437.6796875,18003791136
2023-12-17,38445.0,39111.63671875,38248.24609375,38722.19140625,38722.19140625,13188545203
2023-12-18,38718.515625,38831.62890625,37892.546875,37966.640625,37966.640625,15308580792
2023-12-19,37951.53125,39111.37109375,37145.33203125,39020.05859375,39020.05859375,23092100323
2023-12-20,39036.51171875,39706.421875,38110.69140625,38499.953125,38499.953125,21104124796
2023-12-21,38491.55078125,40396.6015625,38496.046875,39885.05859375,39885.05859375,25463821399
2023-12-22,39881.29296875,40253.83203125,39572.25390625,39858.0625,39858.0625,20399842399
2023-12-23,39857.9140625,40339.125,39388.52734375,39903.32421875,39903.32421875,19071527621
2023-12-24,39916.29296875,39919.46484375,39316.94921875,39667.65234375,39667.65234375,12250301745
2023-12-25,39657.515625,39868.9140625,38848.80859375,39045.21484375,39045.21484375,17092267976
2023-12-26,39040.1796875,39672.8359375,38850.48046875,39580.49609375,39580.49609375,19163344467
2023-12-27,39568.4296875,39571.453125,37778.3203125,38504.5625,38504.5625,27190965041
2023-12-28,38502.8125,39345.3359375,38217.7890625,39108.30078125,39108.30078125,22740505379
2023-12-29,39131.11328125,39415.76171875,38211.7890625,38515.2890625,38515.2890625,20773907848
2023-12-30,38503.3515625,38997.9765625,37469.1796875,38080.046875,38080.046875,23517721045
2023-12-31,38073.125,38518.48828125,37588.7265625,38132.0546875,38132.0546875,14485028393
2024-01-01,38127.7109375,38768.875,37988.5546875,38291.8359375,38291.8359375,14855969946
2024-01-02,38305.46875,40025.59375,38219.16015625,40018.60546875,40018.60546875,16696095504
2024-01-03,40036.55078125,41609.734375,40027.3203125,41089.29296875,41089.29296875,35950434827
2024-01-04,41092.61328125,41576.94921875,37371.3203125,39215.98046875,39215.98046875,42413930730
2024-01-05,39222.96875,40898.17578125,39071.59765625,40360.08203125,40360.08203125,27815518796
2024-01-06,40372.0078125,40487.8984375,39058.85546875,40313.9140625,40313.9140625,29517944389
2024-01-07,40328.7578125,40373.19140625,39686.296875,40155.53515625,40155.53515625,14690041790
2024-01-08,40164.0,40606.16796875,39920.15625,40161.22265625,40161.22265625,17666926685
2024-01-09,40166.34765625,43114.42578125,39537.6328125,42895.8125,42895.8125,39037959858
2024-01-10,42911.4609375,43821.15625,41395.74609375,42206.50390625,42206.50390625,36426685220
2024-01-11,42189.86328125,43423.0546875,40645.234375,42488.2578125,42488.2578125,45665538159
2024-01-12,42514.0390625,44721.1796875,41601.87109375,42220.63671875,42220.63671875,41733631991
2024-01-13,42208.078125,42365.2421875,38219.421875,39085.34375,39085.34375,39522714682
2024-01-14,39036.34765625,39433.296875,38730.52734375,39075.5078125,39075.5078125,18790462489
2024-01-15,39075.40234375,39279.09765625,38120.484375,38186.703125,38186.703125,16008261347
2024-01-16,38112.51171875,39562.125,38103.6953125,38840.46484375,38840.46484375,20392557029
2024-01-17,38828.92578125,40061.84765625,38703.3359375,39669.70703125,39669.70703125,22119531074
2024-01-18,39648.70703125,39708.30859375,38844.625,39262.97265625,39262.97265625,19153733750
2024-01-19,39262.66015625,39384.75390625,37389.37109375,37918.71875,37918.71875,23174989410
2024-01-20,37933.7890625,38683.203125,37031.34765625,38166.16015625,38166.16015625,23616244981
2024-01-21,38171.828125,38404.12109375,38008.80859375,38209.42578125,38209.42578125,10625574894
2024-01-22,38214.83984375,38383.46484375,38102.63671875,38144.265625,38144.265625,8579009413
2024-01-23,38151.48828125,38205.15234375,36241.12890625,36317.1484375,36317.1484375,28808107460
2024-01-24,36327.578125,36831.734375,35454.125,36699.2265625,36699.2265625,26935315403
2024-01-25,36728.7421875,37141.2421875,36305.703125,36831.26953125,36831.26953125,20548650512
2024-01-26,36829.87109375,36968.46875,36444.65234375,36819.76953125,36819.76953125,17049792852
2024-01-27,36822.54296875,38862.6875,36734.69921875,38492.72265625,38492.72265625,23563248548
2024-01-28,38491.57421875,38841.375,38137.78125,38771.80859375,38771.80859375,10514898011
